Type,Time,Error,Gradient Type,MF Type
sinus 1 Input 2 Sets 2000 Epochs Stochastic Gradient Descent two equations mf,3.740787268,0.20204479,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 2000 Epochs Stochastic Gradient Descent one equation mf,3.557768052,0.5495551,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 4000 Epochs Stochastic Gradient Descent two equations mf,7.317939421,0.38972864,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 4000 Epochs Stochastic Gradient Descent one equation mf,6.936982337,0.37949294,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 8000 Epochs Stochastic Gradient Descent two equations mf,14.569233853,0.2583701,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 8000 Epochs Stochastic Gradient Descent one equation mf,14.740920071000001,0.4156156,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 40000 Epochs Stochastic Gradient Descent two equations mf,72.10736695499999,0.24600567,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 40000 Epochs Stochastic Gradient Descent one equation mf,68.537337238,0.4025943,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 80000 Epochs Stochastic Gradient Descent two equations mf,146.42962830099998,0.46005294,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 50 Epochs Mini-Batch Gradient Descent two equations mf,0.23922884700000013,0.14503168,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 50 Epochs Mini-Batch Gradient Descent one equation mf,0.22964386999999986,0.12819366,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 100 Epochs Mini-Batch Gradient Descent two equations mf,0.3386834489999999,0.1395657,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 100 Epochs Mini-Batch Gradient Descent one equation mf,0.32508811699999995,0.11645302,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 500 Epochs Mini-Batch Gradient Descent two equations mf,1.1819186120000005,0.1418811,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.1390476229999997,0.006350162,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent two equations mf,10.597227273,0.14098115,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,10.244148091,0.005591533,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 10 Epochs Batch Gradient Descent two equations mf,0.14777972800000017,0.29820547,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 10 Epochs Batch Gradient Descent one equation mf,0.13781633799999993,0.3169594,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 20 Epochs Batch Gradient Descent two equations mf,0.16043616799999993,0.25708038,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 20 Epochs Batch Gradient Descent one equation mf,0.15623837500000004,0.3186952,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 50 Epochs Batch Gradient Descent two equations mf,0.2274758160000001,0.14849685,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 50 Epochs Batch Gradient Descent one equation mf,0.21586933399999975,0.122264445,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 100 Epochs Batch Gradient Descent two equations mf,0.3301531030000002,0.13948748,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 100 Epochs Batch Gradient Descent one equation mf,0.31281599300000007,0.12515587,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 200 Epochs Batch Gradient Descent two equations mf,0.522632314,0.13913572,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 200 Epochs Batch Gradient Descent one equation mf,0.5106444710000004,0.3008007,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.0995269720000005,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,1.998602758,0.2716484,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 2000 Epochs Batch Gradient Descent two equations mf,4.140131128,0.13913527,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 2000 Epochs Batch Gradient Descent one equation mf,3.916049894,0.27161628,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 6000 Epochs Batch Gradient Descent two equations mf,12.217833476,0.13913426,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 6000 Epochs Batch Gradient Descent one equation mf,11.684617871,0.27281535,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 400 Epochs Stochastic Gradient Descent one equation mf,0.8128554430000001,2.0090377,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5 Epochs Mini-Batch Gradient Descent one equation mf,0.1384318819999999,0.7106369,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1 Epochs Batch Gradient Descent one equation mf,0.12525557799999998,2.186024,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 4000 Epochs Stochastic Gradient Descent two equations mf,8.98504474,0.17326614,Stochastic Gradient Descent,two equations mf
sinus 1 Input 3 Sets 4000 Epochs Stochastic Gradient Descent one equation mf,8.394525883,0.5587008,Stochastic Gradient Descent,one equation mf
sinus 1 Input 3 Sets 50 Epochs Mini-Batch Gradient Descent two equations mf,0.2980750080000001,0.0460837,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs Mini-Batch Gradient Descent one equation mf,0.301150206,0.01352632,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 10 Epochs Batch Gradient Descent two equations mf,0.19743255599999987,0.13026237,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 10 Epochs Batch Gradient Descent one equation mf,0.18042269899999974,0.09055989,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 20000 Epochs Stochastic Gradient Descent two equations mf,43.936918276,0.36294964,Stochastic Gradient Descent,two equations mf
sinus 1 Input 3 Sets 20000 Epochs Stochastic Gradient Descent one equation mf,40.744060661999995,0.54091024,Stochastic Gradient Descent,one equation mf
sinus 1 Input 3 Sets 250 Epochs Mini-Batch Gradient Descent two equations mf,0.8128144559999995,0.00023668594,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 250 Epochs Mini-Batch Gradient Descent one equation mf,0.7568731020000006,0.0019111909,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent two equations mf,0.2985468789999999,0.04316041,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent one equation mf,0.281294065,0.0089918915,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent two equations mf,0.3001532760000001,0.043162756,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent one equation mf,0.28148899400000005,0.0089918915,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 40000 Epochs Stochastic Gradient Descent two equations mf,88.304187969,0.28848445,Stochastic Gradient Descent,two equations mf
sinus 1 Input 3 Sets 40000 Epochs Stochastic Gradient Descent one equation mf,81.91666239700001,0.54447824,Stochastic Gradient Descent,one equation mf
sinus 1 Input 3 Sets 500 Epochs Mini-Batch Gradient Descent two equations mf,1.4330715830000003,0.00019993485,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.3706561430000006,0.00018236013,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 100 Epochs Batch Gradient Descent two equations mf,0.41697856499999997,0.00040645179,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 100 Epochs Batch Gradient Descent one equation mf,0.3969706249999998,0.003219471,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 1000 Epochs Mini-Batch Gradient Descent one equation mf,2.625355901,0.06628252,Mini-Batch Gradient Descent,one equation mf
